Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI S5,3,6,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ03.0AUD,small car,6,17,26,20,4,No,439
AUDI S5,3,6,Man-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAJ03.0AUD,small car,6,17,26,20,4,No,439
AUDI S5 Cabriolet,3,6,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ03.0AUD,small car,6,18,26,21,4,No,428
AUDI S5 Cabriolet,3,6,AMS-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAJ03.0AUD,small car,6,18,26,21,4,No,428
AUDI S6,4,8,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,midsize car,6,18,27,21,4,No,423
AUDI S6,4,8,AMS-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,midsize car,6,18,27,21,4,No,423
AUDI S7,4,8,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,midsize car,6,17,27,21,4,No,427
AUDI S7,4,8,AMS-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,midsize car,6,17,27,21,4,No,427
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,midsize car,6,15,24,18,3,No,501
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,midsize car,6,15,24,18,3,No,501
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ03.0AUD,small SUV,6,17,24,19,4,No,458
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAJ03.0AUD,small SUV,6,17,24,19,4,No,458
AUDI TT Coupe,2,4,AMS-6,4WD,Gasoline,CA,PZEV,California PZEV,HVGAV02.0APA,small car,9,23,30,26,6,No,336
AUDI TT Coupe,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0APA,small car,8,23,30,26,6,No,336
AUDI TT Roadster,2,4,AMS-6,4WD,Gasoline,CA,PZEV,California PZEV,HVGAV02.0APA,small car,9,23,30,26,6,No,336
AUDI TT Roadster,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0APA,small car,8,23,30,26,6,No,336
